Field ID,Type,Water,Serial,Date Deployed,Time Deployed,Date Pulled,Time Pulled,Northings,Eastings,Elevation,Average Maximum Inundation Depth (m),Maximum Maximum Inundation Depth (m),Average Inundation Duration (min),Maximum Inundation Duration (min),Portion of Time Inundated,Depth*Duration Flood Metric
26,Pond,Salt,21410921,9/15/2022,4:00:00 PM,10/7/2022,1:30 PM,4613599.153,413738.357,0.128,0.0865,0.634,1491.260504,3860,0.3473,0.03003
37a,Plat,?,21410924,9/15/2022,4:00:00 PM,10/7/2022,1:30 PM,4613958.274,413716.277,0.704,0.0516,0.077,308.6725664,580,0.0987,0.0051
7,Creek,Brackish,21410927,9/15/2022,4:00:00 PM,10/7/2022,1:30 PM,4613717.503,413346.159,0.002,0.1217,0.746,4608.030303,9250,0.3954,0.04814
11,Plat,?,21410928,9/15/2022,4:00:00 PM,10/7/2022,1:30 PM,4613726.047,413361.58,0.572,0.0954,0.173,156.6666667,230,0.0425,0.00406
35,Ditch,Salt,21410929,9/15/2022,4:00:00 PM,10/7/2022,1:30 PM,4613603.504,413766.418,0.04,0.2977,0.702,672,2090,0.2392,0.07122
38,Plat,?,21410932,9/15/2022,4:00:00 PM,10/7/2022,1:30 PM,4613957.857,413709.266,0.716,0,0,0,0,0,0
42,Creek,Salt,21410933,9/15/2022,4:00:00 PM,10/7/2022,1:30 PM,4613840.687,413643.528,-0.157,0.4874,0.766,529.2307692,840,0.2904,0.14153
5,Plat,Salt,21410972,9/15/2022,4:00:00 PM,10/7/2022,1:30 PM,4613687.444,413342.268,0.628,0.0692,0.104,112,170,0.0154,0.00107
8,Plat,?,21411051,9/15/2022,4:00:00 PM,10/7/2022,1:30 PM,4613719.022,413346.092,0.4,0.2135,0.345,241.5384615,330,0.0992,0.02119
24,Plat,Salt,21411058,9/15/2022,4:00:00 PM,10/7/2022,1:30 PM,4613591.113,413725.865,0.442,0.1657,0.347,200,310,0.08,0.01326
15,Plat,Salt,21411061,9/15/2022,4:00:00 PM,10/7/2022,1:30 PM,4613627.056,413749.148,0.484,0.1725,0.327,204.2857143,290,0.0722,0.01245
