poly_number,point_number,subclass,northing,easting,elevation,notes,date,type,veg_height_cm,veg_height_m,outside_mask,out_rgb_may,out_lidar_may,out_rgb_aug,out_lidar_aug,site,predicted
NA,180,3,4613874.156,413854.808,0.498,NA,2022-08-10,EVP,22,0.22,NA,NA,NA,NA,NA,rr,0.6082276960086239
NA,181,1,4613926.371,413668.287,0.349,NA,2022-08-10,EVP,128,1.28,NA,NA,NA,NA,NA,rr,0.45891263845205427
NA,183,1,4613806.954,413815.108,0.089,NA,2022-08-06,EVP,97,0.97,NA,NA,NA,NA,NA,rr,0.5907795118511534
NA,184,3,4613737.19,413551.768,0.444,NA,2022-08-10,EVP,30,0.3,NA,NA,NA,NA,NA,rr,0.6221527960226829
NA,186,1,4613691.93,413336.241,0.403,NA,2022-08-06,EVP,73,0.73,NA,NA,NA,NA,NA,rr,0.8445184160163969
NA,187,3,4613642.778,413710.442,0.483,NA,2022-08-06,EVP,21,0.21,NA,NA,NA,NA,NA,rr,0.6271598379379563
NA,188,1,4613705.001,413337.098,0.376,NA,2022-08-06,EVP,56,0.56,NA,NA,NA,NA,NA,rr,0.6453859268809742
NA,189,3,4613680.278,413324.469,0.612,NA,2022-08-06,EVP,29,0.29,NA,NA,NA,NA,NA,rr,0.7411411284524949
NA,191,1,4613555.872,413579.787,0.459,NA,2022-08-06,EVP,37,0.37,NA,NA,NA,NA,NA,rr,0.5217677004055673
NA,192,1,4613597.519,413770.924,0.319,NA,2022-08-06,EVP,63,0.63,NA,NA,NA,NA,NA,rr,0.7088454239229809
NA,193,1,4613580.212,413679.676,0.377,NA,2022-08-06,EVP,62,0.62,NA,NA,NA,NA,NA,rr,0.8128198354363513
NA,194,1,4613447.557,413401.496,0.345,NA,2022-08-06,EVP,66,0.66,NA,NA,NA,NA,NA,rr,0.7757024140875012
NA,195,1,4613755.897,413657.701,0.425,NA,2022-08-10,EVP,77,0.77,NA,NA,NA,NA,NA,rr,0.9552774395757939
NA,196,1,4613700.722,413470.529,0.253,NA,2022-08-06,EVP,91,0.91,NA,NA,NA,NA,NA,rr,0.6194003253380662
NA,197,1,4613725.657,413723.906,0.459,NA,2022-08-06,EVP,54,0.54,NA,NA,NA,NA,NA,rr,0.7080361480239743
NA,199,1,4613481.3,413426.544,0.34,NA,2022-08-06,EVP,52,0.52,NA,NA,NA,NA,NA,rr,0.7527599973825365
NA,200,1,4613601.925,413768.031,0.339,NA,2022-08-06,EVP,64,0.64,NA,NA,NA,NA,NA,rr,0.7087519797370248
